Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
ED-T-04-AWSGW-001,ED-T-04-AWSGW-001,ext:Gateway,,,,,L04,
ED-T-04-AWSGW-001_GatewayStatus,Status,brick:Availability_Status,,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWSGW-001_GatewayStatus//Value,,ED-T-04-AWSGW-001,,
ED-T-04-AWSGW-001_Co2,Average Foor CO2,brick:CO2_Level_Sensor,unit:PPM,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/CurrentMetrics/Level 4_Co2//Value,,ED-T-04-AWSGW-001,,
ED-T-04-AWSGW-001_Lum,Average Floor Lux Level,brick:Luminance_Sensor,unit:LX,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/CurrentMetrics/Level 4_Lum//Value,,ED-T-04-AWSGW-001,,
ED-T-04-AWSGW-001_Rh,Average Floor Humidity,brick:Humidity_Sensor,unit:PERCENT,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/CurrentMetrics/Level 4_Rh//Value,,ED-T-04-AWSGW-001,,
ED-T-04-AWSGW-001_So,Average Floor Sound Pressure Level,ext:Sound_Pressure_Level_Sensor,unit:DB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/CurrentMetrics/Level 4_So//Value,,ED-T-04-AWSGW-001,,
ED-T-04-AWSGW-001_Tmp,Average Floor Ambient Temperature,brick:Temperature_Sensor,unit:DEG_C,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/CurrentMetrics/Level 4_Tmp//Value,,ED-T-04-AWSGW-001,,
ED-T-04-AWSGW-001_RoomsOccupied,Total Number of Rooms Occupied,brick:Occupancy_Status,,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/CurrentMetrics/Level 4_RoomsOccupied//Value,,ED-T-04-AWSGW-001,,
ED-T-04-AWSGW-001_Voc,Average Floor Total Volatile Organic Compounds,brick:TVOC_Level_Sensor,unit:PPB,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/CurrentMetrics/Level 4_Voc//Value,,ED-T-04-AWSGW-001,,
ED-T-04-AWSGW-001_Ieq,IEQ Score,ext:Floor_Indoor_Environment_Quality_Sensor,,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/CurrentMetrics/Level 4_Ieq//Value,,ED-T-06-AWSGW-001,,
ED-T-04-AWSGW-002,ED-T-04-AWSGW-002,ext:Gateway,,,,,L04,
ED-T-04-AWSGW-002_GatewayStatus,Status,brick:Availability_Status,,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWSGW-001_SecondaryGatewayStatus//Value,,ED-T-04-AWSGW-002,,
ED-T-04-AWS-HZN001,ED-T-04-AWS-HZN001,ext:Average_Indoor_Environment_Quality_Sensor,,,ED-T-04-AWSGW-001,,Room_04.07,
ED-T-04-AWS-HZN001_RoomOccupancy,Room Occupancy,brick:Motion_Sensor,,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN001/CurrentMetrics/ED-T-04-AWS-HZN001_RoomOccupancy//Value,,ED-T-04-AWS-HZN001,,
ED-T-04-AWS-HZN001_Lum,Average Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-UACPCFES-001/AWS/SenseAgent SmartConnector/Sense Agent Integration Service/ED-T-04-AWSGW-001/ED-T-04-AWS-HZN001/CurrentMetrics/ED-T-04-AWS-HZN001_Lum//Value,,ED-T-04-AWS-HZN001,,
