Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
K-T-31-BLMOC-001,K-T-31-BLMOC-001,ext:Blind_Controller,,,K-T-31-BLZNE-001,,Level_31_East_Perimeter,
K-T-31-BLMOC-001_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMOC-001_PwF//Value,,K-T-31-BLMOC-001,,
K-T-31-BLMOC-002,K-T-31-BLMOC-002,ext:Blind_Controller,,,K-T-31-BLZNE-003,,Level_31_North_East_Perimeter,
K-T-31-BLMOC-002_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMOC-002_PwF//Value,,K-T-31-BLMOC-002,,
K-T-31-BLMOC-003,K-T-31-BLMOC-003,ext:Blind_Controller,,,K-T-31-BLZNE-004,,Level_31_North_East_Perimeter,
K-T-31-BLMOC-003_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMOC-003_PwF//Value,,K-T-31-BLMOC-003,,
K-T-31-BLMOC-004,K-T-31-BLMOC-004,ext:Blind_Controller,,,K-T-31-BLZNE-005,,Level_31_North_East_Perimeter,
K-T-31-BLMOC-004_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMOC-004_PwF//Value,,K-T-31-BLMOC-004,,
K-T-31-BLMOC-005,K-T-31-BLMOC-005,ext:Blind_Controller,,,K-T-31-BLZNE-006,,Level_31_North_East_Perimeter,
K-T-31-BLMOC-005_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMOC-005_PwF//Value,,K-T-31-BLMOC-005,,
K-T-31-BLMOC-006,K-T-31-BLMOC-006,ext:Blind_Controller,,,K-T-31-BLZNE-009,,Level_31_North_West_Perimeter,
K-T-31-BLMOC-006_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMOC-006_PwF//Value,,K-T-31-BLMOC-006,,
K-T-31-BLMOC-007,K-T-31-BLMOC-007,ext:Blind_Controller,,,K-T-31-BLZNE-009,,Level_31_North_West_Perimeter,
K-T-31-BLMOC-007_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMOC-007_PwF//Value,,K-T-31-BLMOC-007,,
K-T-31-BLMOC-008,K-T-31-BLMOC-008,ext:Blind_Controller,,,K-T-31-BLZNE-011,,Level_31_North_West_Perimeter,
K-T-31-BLMOC-008_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMOC-008_PwF//Value,,K-T-31-BLMOC-008,,
K-T-31-BLMOC-009,K-T-31-BLMOC-009,ext:Blind_Controller,,,K-T-31-BLZNE-012,,Level_31_North_West_Perimeter,
K-T-31-BLMOC-009_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMOC-009_PwF//Value,,K-T-31-BLMOC-009,,
K-T-31-BLMOC-010,K-T-31-BLMOC-010,ext:Blind_Controller,,,K-T-31-BLZNE-013,,Level_31_West_Perimeter,
K-T-31-BLMOC-010_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMOC-010_PwF//Value,,K-T-31-BLMOC-010,,
K-T-31-BLMOC-011,K-T-31-BLMOC-011,ext:Blind_Controller,,,K-T-31-BLZNE-014,,Level_31_West_Perimeter,
K-T-31-BLMOC-011_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMOC-011_PwF//Value,,K-T-31-BLMOC-011,,
K-T-31-BLMTR-011,K-T-31-BLMTR-011,brick:Motor,,,K-T-31-BLZNE-001,,,
K-T-31-BLMTR-011_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-011_MtF//Value,,K-T-31-BLMTR-011,,
K-T-31-BLMTR-012,K-T-31-BLMTR-012,brick:Motor,,,K-T-31-BLZNE-001,,,
K-T-31-BLMTR-012_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-012_MtF//Value,,K-T-31-BLMTR-012,,
K-T-31-BLMTR-013,K-T-31-BLMTR-013,brick:Motor,,,K-T-31-BLZNE-001,,,
K-T-31-BLMTR-013_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-013_MtF//Value,,K-T-31-BLMTR-013,,
K-T-31-BLMTR-014,K-T-31-BLMTR-014,brick:Motor,,,K-T-31-BLZNE-001,,,
K-T-31-BLMTR-014_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-014_MtF//Value,,K-T-31-BLMTR-014,,
K-T-31-BLMTR-021,K-T-31-BLMTR-021,brick:Motor,,,K-T-31-BLZNE-002,,,
K-T-31-BLMTR-021_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-021_MtF//Value,,K-T-31-BLMTR-021,,
K-T-31-BLMTR-022,K-T-31-BLMTR-022,brick:Motor,,,K-T-31-BLZNE-002,,,
K-T-31-BLMTR-022_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-022_MtF//Value,,K-T-31-BLMTR-022,,
K-T-31-BLMTR-023,K-T-31-BLMTR-023,brick:Motor,,,K-T-31-BLZNE-002,,,
K-T-31-BLMTR-023_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-023_MtF//Value,,K-T-31-BLMTR-023,,
K-T-31-BLMTR-024,K-T-31-BLMTR-024,brick:Motor,,,K-T-31-BLZNE-002,,,
K-T-31-BLMTR-024_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-024_MtF//Value,,K-T-31-BLMTR-024,,
K-T-31-BLMTR-031,K-T-31-BLMTR-031,brick:Motor,,,K-T-31-BLZNE-003,,,
K-T-31-BLMTR-031_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-031_MtF//Value,,K-T-31-BLMTR-031,,
K-T-31-BLMTR-032,K-T-31-BLMTR-032,brick:Motor,,,K-T-31-BLZNE-003,,,
K-T-31-BLMTR-032_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-032_MtF//Value,,K-T-31-BLMTR-032,,
K-T-31-BLMTR-033,K-T-31-BLMTR-033,brick:Motor,,,K-T-31-BLZNE-004,,,
K-T-31-BLMTR-033_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-033_MtF//Value,,K-T-31-BLMTR-033,,
K-T-31-BLMTR-034,K-T-31-BLMTR-034,brick:Motor,,,K-T-31-BLZNE-004,,,
K-T-31-BLMTR-034_MtF,Motor Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_004_126704/Application/K-T-31-BLMTR-034_MtF//Value,,K-T-31-BLMTR-034,,
K-T-31-BLMTR-041,K-T-31-BLMTR-041,brick:Motor,,,K-T-31-BLZNE-005,,,
