Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
K-T-07-BLZNE-001,K-T-07-BLZNE-001,ext:Blind_Zone_Equipment_Group,,,,,Level_07_North_West_Perimeter_01,
K-T-07-BLZNE-001_PsF,Position Feedback,brick:Position_Sensor,unit:PERCENT,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLZNE-001_PsF//Value,,K-T-07-BLZNE-001,,
K-T-07-BLZNE-001_Sts,Status,brick:Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLZNE-001_Sts//Value,,K-T-07-BLZNE-001,,
K-T-07-BLZNE-002,K-T-07-BLZNE-002,ext:Blind_Zone_Equipment_Group,,,,,Level_07_North_West_Perimeter_01,
K-T-07-BLZNE-002_PsF,Position Feedback,brick:Position_Sensor,unit:PERCENT,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLZNE-002_PsF//Value,,K-T-07-BLZNE-002,,
K-T-07-BLZNE-002_Sts,Status,brick:Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLZNE-002_Sts//Value,,K-T-07-BLZNE-002,,
K-T-07-BLZNE-003,K-T-07-BLZNE-003,ext:Blind_Zone_Equipment_Group,,,,,Level_07_North_West_Perimeter_01,
K-T-07-BLZNE-003_PsF,Position Feedback,brick:Position_Sensor,unit:PERCENT,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLZNE-003_PsF//Value,,K-T-07-BLZNE-003,,
K-T-07-BLZNE-003_Sts,Status,brick:Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLZNE-003_Sts//Value,,K-T-07-BLZNE-003,,
K-T-07-BLZNE-004,K-T-07-BLZNE-004,ext:Blind_Zone_Equipment_Group,,,,,Level_07_East_Perimeter,
K-T-07-BLZNE-004_PsF,Position Feedback,brick:Position_Sensor,unit:PERCENT,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLZNE-004_PsF//Value,,K-T-07-BLZNE-004,,
K-T-07-BLZNE-004_Sts,Status,brick:Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLZNE-004_Sts//Value,,K-T-07-BLZNE-004,,
K-T-07-BLZNE-005,K-T-07-BLZNE-005,ext:Blind_Zone_Equipment_Group,,,,,Level_07_East_Perimeter,
K-T-07-BLZNE-005_PsF,Position Feedback,brick:Position_Sensor,unit:PERCENT,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLZNE-005_PsF//Value,,K-T-07-BLZNE-005,,
K-T-07-BLZNE-005_Sts,Status,brick:Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLZNE-005_Sts//Value,,K-T-07-BLZNE-005,,
K-T-07-BLMOC-001,K-T-07-BLMOC-001,ext:Blind_Controller,,,,,Level_07_North_West_Perimeter_01,
K-T-07-BLMOC-001_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLMOC-001_PwF//Value,,K-T-07-BLMOC-001,,
K-T-07-BLMOC-002,K-T-07-BLMOC-002,ext:Blind_Controller,,,,,Level_07_North_West_Perimeter_01,
K-T-07-BLMOC-002_PwF,Power Supply Fault,brick:Fault_Status,,/EB-T-B1-LBES-001/Blinds/BACnet Interface/IP Network/K_T_02_BLJACE_002_126702/Application/K-T-07-BLMOC-002_PwF//Value,,K-T-07-BLMOC-002,,
