Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
CP-T-B1M-BG-001,CP-T-B1M-BG-001,ext:Boom_Gate,,,,,LB1,
CP-T-B1M-BG-001_CloseCmd,Close Command,ext:Close_Command,,/EB-T-B1-CPASP-001/IO Bus/Slot05:DOFA12/CP-T-B1M-BG-001_CloseCmd//Value,,CP-T-B1M-BG-001,,
CP-T-B1M-BG-001_OpenCmd,Open Command,ext:Open_Command,,/EB-T-B1-CPASP-001/IO Bus/Slot05:DOFA12/CP-T-B1M-BG-001_OpenCmd//Value,,CP-T-B1M-BG-001,,
CP-T-B1M-BG-001_CloseSts,Close Status,ext:Close_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot03:UI16/CP-T-B1M-BG-001_CloseSts//Value,,CP-T-B1M-BG-001,,
CP-T-B1M-BG-001_OpenSts,Open Open Status,ext:Open_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot03:UI16/CP-T-B1M-BG-001_OpenSts//Value,,CP-T-B1M-BG-001,,
CP-T-B1M-BG-001_GenErr,General Error,ext:General_Error_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot03:UI16/CP-T-B1M-BG-001_GenErr//Value,,CP-T-B1M-BG-001,,
CP-T-B1M-BG-001_ImpactDet,Impact Detection Status,ext:Impact_Detection_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot03:UI16/CP-T-B1M-BG-001_ImpactDet//Value,,CP-T-B1M-BG-001,,
CP-T-B1M-BG-001_MainsPwrFail,Mains Power Status,ext:Mains_Power_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot03:UI16/CP-T-B1M-BG-001_MainsPwrFail//Value,,CP-T-B1M-BG-001,,
CP-T-B1M-BG-001_Vandalism,Vandilism Status,ext:Vandilism_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot03:UI16/CP-T-B1M-BG-001_Vandalism//Value,,CP-T-B1M-BG-001,,
CP-T-B1M-BG-001_VehicleCounter,Vehicle Counter,ext:Vehicle_Counter,,/EB-T-B1-CPASP-001/IO Bus/Slot03:UI16/CP-T-B1M-BG-001_VehicleCounter//Value,,CP-T-B1M-BG-001,,
CP-T-B1M-TLP-001,CP-T-B1M-TLP-001,ext:Traffic_Light_Control_Panel,,,,,LB1M,
CP-T-B1M-TLP-001_AmberStrobe,Amer Strobe Status,brick:On_Off_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot03:UI16/CP-T-B1M-TLP-001_AmberStrobe//Value,,CP-T-B1M-TLP-001,,
CP-T-B1M-TLP-001_CarparkExitLight,Carpark Exit Light Status,brick:On_Off_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot03:UI16/CP-T-B1M-TLP-001_CarparkExitLight//Value,,CP-T-B1M-TLP-001,,
CP-T-B1M-TLP-001_DockLight,Dock Light Status,brick:On_Off_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot03:UI16/CP-T-B1M-TLP-001_DockLight//Value,,CP-T-B1M-TLP-001,,
CP-T-B1M-TLP-001_LaserScannerFault,Laser Scanner Fault,brick:Fault_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot03:UI16/CP-T-B1M-TLP-001_LaserScannerFault//Value,,CP-T-B1M-TLP-001,,
CP-T-B1M-TLP-001_MainEntryLight,Main Entry Light Status,brick:On_Off_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot04:UI16/CP-T-B1M-TLP-001_MainEntryLight//Value,,CP-T-B1M-TLP-001,,
CP-T-B1M-TLP-001_PeFault,PE Fault,brick:Fault_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot04:UI16/CP-T-B1M-TLP-001_PeFault//Value,,CP-T-B1M-TLP-001,,
CP-T-B1M-TLP-001_PlcFault,PLC Fault,brick:Fault_Status,,/EB-T-B1-CPASP-001/IO Bus/Slot04:UI16/CP-T-B1M-TLP-001_PlcFault//Value,,CP-T-B1M-TLP-001,,
CP-T-B1M-TLP-001_VehicleEntering,Vehicle Entering,ext:Photoelectric_Sensor,,/EB-T-B1-CPASP-001/IO Bus/Slot04:UI16/CP-T-B1M-TLP-001_VehicleEntering//Value,,CP-T-B1M-TLP-001,,
