Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
LE-T-04-EML-001,LE-T-04-EML-001,ext:Emergency_Light,,,,,Room_04.03,
LE-T-04-EML-001_LampState,Lamp State,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-001/LampState//Value,,LE-T-04-EML-001,,
LE-T-04-EML-001_FittingStatus,Fitting Status,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-001/FittingStatus//Value,,LE-T-04-EML-001,,
LE-T-04-EML-001_FaultReason,Fault Reason,ext:Fault_Reason,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-001/FaultReason//Value,,LE-T-04-EML-001,,
LE-T-04-EML-001_LastDischargeTestDateTime,Last Discharge Test Date Time,ext:Last_Discharge_Test_Date_Time,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-001/LastDischargeTestDateTime//Value,,LE-T-04-EML-001,,
LE-T-04-EML-001_LTReqDuration,Last Test Required Duration,ext:Last_Test_Required_Duration,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-001/LTReqDuration//Value,,LE-T-04-EML-001,,
LE-T-04-EML-001_LTResult,Last Test Result,ext:Last_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-001/LTResult//Value,,LE-T-04-EML-001,,
LE-T-04-EML-001_LTMinutes,Last Test Minutes,ext:Last_Test_Minutes,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-001/LTMinutes//Value,,LE-T-04-EML-001,,
LE-T-04-EML-001_LastDtResult,Last Discharge Test Result,ext:Last_Discharge_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-001/LastDtResult//Value,,LE-T-04-EML-001,,
LE-T-04-EML-001_LastFtResult,Last Function Test Result,ext:Last_Function_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-001/LastFtResult//Value,,LE-T-04-EML-001,,
LE-T-04-EML-001_LastUpdate,Last Update,ext:Last_Update,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-001/LastUpdate//Value,,LE-T-04-EML-001,,
LE-T-04-EML-001_BatteryState,Battery State,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-001/BatteryState//Value,,LE-T-04-EML-001,,
LE-T-04-EXL-002,LE-T-04-EXL-002,ext:Exit_Light,,,,,Room_04.03,
LE-T-04-EXL-002_LampState,Lamp State,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-002/LampState//Value,,LE-T-04-EXL-002,,
LE-T-04-EXL-002_FittingStatus,Fitting Status,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-002/FittingStatus//Value,,LE-T-04-EXL-002,,
LE-T-04-EXL-002_FaultReason,Fault Reason,ext:Fault_Reason,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-002/FaultReason//Value,,LE-T-04-EXL-002,,
LE-T-04-EXL-002_LastDischargeTestDateTime,Last Discharge Test Date Time,ext:Last_Discharge_Test_Date_Time,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-002/LastDischargeTestDateTime//Value,,LE-T-04-EXL-002,,
LE-T-04-EXL-002_LTReqDuration,Last Test Required Duration,ext:Last_Test_Required_Duration,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-002/LTReqDuration//Value,,LE-T-04-EXL-002,,
LE-T-04-EXL-002_LTResult,Last Test Result,ext:Last_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-002/LTResult//Value,,LE-T-04-EXL-002,,
LE-T-04-EXL-002_LTMinutes,Last Test Minutes,ext:Last_Test_Minutes,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-002/LTMinutes//Value,,LE-T-04-EXL-002,,
LE-T-04-EXL-002_LastDtResult,Last Discharge Test Result,ext:Last_Discharge_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-002/LastDtResult//Value,,LE-T-04-EXL-002,,
LE-T-04-EXL-002_LastFtResult,Last Function Test Result,ext:Last_Function_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-002/LastFtResult//Value,,LE-T-04-EXL-002,,
LE-T-04-EXL-002_LastUpdate,Last Update,ext:Last_Update,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-002/LastUpdate//Value,,LE-T-04-EXL-002,,
LE-T-04-EXL-002_BatteryState,Battery State,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-002/BatteryState//Value,,LE-T-04-EXL-002,,
LE-T-04-EML-003,LE-T-04-EML-003,ext:Emergency_Light,,,,,Room_04.03,
LE-T-04-EML-003_LampState,Lamp State,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-003/LampState//Value,,LE-T-04-EML-003,,
LE-T-04-EML-003_FittingStatus,Fitting Status,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-003/FittingStatus//Value,,LE-T-04-EML-003,,
LE-T-04-EML-003_FaultReason,Fault Reason,ext:Fault_Reason,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-003/FaultReason//Value,,LE-T-04-EML-003,,
LE-T-04-EML-003_LastDischargeTestDateTime,Last Discharge Test Date Time,ext:Last_Discharge_Test_Date_Time,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-003/LastDischargeTestDateTime//Value,,LE-T-04-EML-003,,
LE-T-04-EML-003_LTReqDuration,Last Test Required Duration,ext:Last_Test_Required_Duration,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-003/LTReqDuration//Value,,LE-T-04-EML-003,,
LE-T-04-EML-003_LTResult,Last Test Result,ext:Last_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-003/LTResult//Value,,LE-T-04-EML-003,,
LE-T-04-EML-003_LTMinutes,Last Test Minutes,ext:Last_Test_Minutes,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-003/LTMinutes//Value,,LE-T-04-EML-003,,
LE-T-04-EML-003_LastDtResult,Last Discharge Test Result,ext:Last_Discharge_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-003/LastDtResult//Value,,LE-T-04-EML-003,,
LE-T-04-EML-003_LastFtResult,Last Function Test Result,ext:Last_Function_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-003/LastFtResult//Value,,LE-T-04-EML-003,,
LE-T-04-EML-003_LastUpdate,Last Update,ext:Last_Update,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-003/LastUpdate//Value,,LE-T-04-EML-003,,
LE-T-04-EML-003_BatteryState,Battery State,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-003/BatteryState//Value,,LE-T-04-EML-003,,
LE-T-04-EXL-004,LE-T-04-EXL-004,ext:Exit_Light,,,,,Room_04.03,
LE-T-04-EXL-004_LampState,Lamp State,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-004/LampState//Value,,LE-T-04-EXL-004,,
LE-T-04-EXL-004_FittingStatus,Fitting Status,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-004/FittingStatus//Value,,LE-T-04-EXL-004,,
LE-T-04-EXL-004_FaultReason,Fault Reason,ext:Fault_Reason,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-004/FaultReason//Value,,LE-T-04-EXL-004,,
LE-T-04-EXL-004_LastDischargeTestDateTime,Last Discharge Test Date Time,ext:Last_Discharge_Test_Date_Time,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-004/LastDischargeTestDateTime//Value,,LE-T-04-EXL-004,,
LE-T-04-EXL-004_LTReqDuration,Last Test Required Duration,ext:Last_Test_Required_Duration,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-004/LTReqDuration//Value,,LE-T-04-EXL-004,,
LE-T-04-EXL-004_LTResult,Last Test Result,ext:Last_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-004/LTResult//Value,,LE-T-04-EXL-004,,
LE-T-04-EXL-004_LTMinutes,Last Test Minutes,ext:Last_Test_Minutes,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-004/LTMinutes//Value,,LE-T-04-EXL-004,,
LE-T-04-EXL-004_LastDtResult,Last Discharge Test Result,ext:Last_Discharge_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-004/LastDtResult//Value,,LE-T-04-EXL-004,,
LE-T-04-EXL-004_LastFtResult,Last Function Test Result,ext:Last_Function_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-004/LastFtResult//Value,,LE-T-04-EXL-004,,
LE-T-04-EXL-004_LastUpdate,Last Update,ext:Last_Update,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-004/LastUpdate//Value,,LE-T-04-EXL-004,,
LE-T-04-EXL-004_BatteryState,Battery State,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EXL-004/BatteryState//Value,,LE-T-04-EXL-004,,
LE-T-04-EML-005,LE-T-04-EML-005,ext:Emergency_Light,,,,,Room_04.07,
LE-T-04-EML-005_LampState,Lamp State,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-005/LampState//Value,,LE-T-04-EML-005,,
LE-T-04-EML-005_FittingStatus,Fitting Status,brick:Status,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-005/FittingStatus//Value,,LE-T-04-EML-005,,
LE-T-04-EML-005_FaultReason,Fault Reason,ext:Fault_Reason,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-005/FaultReason//Value,,LE-T-04-EML-005,,
LE-T-04-EML-005_LastDischargeTestDateTime,Last Discharge Test Date Time,ext:Last_Discharge_Test_Date_Time,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-005/LastDischargeTestDateTime//Value,,LE-T-04-EML-005,,
LE-T-04-EML-005_LTReqDuration,Last Test Required Duration,ext:Last_Test_Required_Duration,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-005/LTReqDuration//Value,,LE-T-04-EML-005,,
LE-T-04-EML-005_LTResult,Last Test Result,ext:Last_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-005/LTResult//Value,,LE-T-04-EML-005,,
LE-T-04-EML-005_LTMinutes,Last Test Minutes,ext:Last_Test_Minutes,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-005/LTMinutes//Value,,LE-T-04-EML-005,,
LE-T-04-EML-005_LastDtResult,Last Discharge Test Result,ext:Last_Discharge_Test_Result,,/EB-T-B1-LBES-001/Emergency and Exit Lights/Clevertronics DB Interface/Clevertronics Integration Service/Level 04/LE-T-04-EML-005/LastDtResult//Value,,LE-T-04-EML-005,,
