class,subClassOf,rdf_label,definition
Emergency_Light,brick:Lighting_Equipment,Emergency Light Fitting,
Exit_Light,brick:Lighting_Equipment,Exit Light Fitting,
Lamp,ext:Emergency_Light,Lamp,
Lamp,ext:Exit_Light,Lamp,
Light_Fitting_Battery,ext:Emergency_Light,Light Fitting Battery,
Light_Fitting_Battery,ext:Exit_Light,Light Fitting Battery,
Light_Fitting_Status,brick:Status,Light Fitting Status,
Fault_Reason,ext:Light_Fitting_Status,Fault Reason,
Last_Test_Date_Time,ext:Light_Fitting_Status,Last Test Date Time,
Last_Test_Required_Duration,ext:Light_Fitting_Status,Last Test Required Duration,
Last_Test_Result,ext:Light_Fitting_Status,Last Test Result,
Last_Test_Minutes,ext:Light_Fitting_Status,Last Test Minutes,
Last_Discharge_Test_Result,ext:Light_Fitting_Status,Last Discharge Test Result,
Last_Function_Test_Result,ext:Light_Fitting_Status,Last Function Test Result,
Last_Update,ext:Light_Fitting_Status,Last Update,
