Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
F-T-01-FDETR-001,F-T-01-FDETR-001,brick:Fire_Sensor,,,,,L01,
F-T-01-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-01-FDETR-001_Alarm//Value,,F-T-01-FDETR-001,,
F-T-01-FSPR-001,F-T-01-FSPR-001,ext:Fire_Sprinkler,,,,,L01,
F-T-01-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-01-FSPR-001_Alarm//Value,,F-T-01-FSPR-001,,
F-T-02-FDETR-001,F-T-02-FDETR-001,brick:Fire_Sensor,,,,,L02,
F-T-02-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-02-FDETR-001_Alarm//Value,,F-T-02-FDETR-001,,
F-T-02-FSPR-001,F-T-02-FSPR-001,ext:Fire_Sprinkler,,,,,L02,
F-T-02-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-02-FSPR-001_Alarm//Value,,F-T-02-FSPR-001,,
F-T-03-FDETR-001,F-T-03-FDETR-001,brick:Fire_Sensor,,,,,L03,
F-T-03-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-03-FDETR-001_Alarm//Value,,F-T-03-FDETR-001,,
F-T-03-FSPR-001,F-T-03-FSPR-001,ext:Fire_Sprinkler,,,,,L03,
F-T-03-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-03-FSPR-001_Alarm//Value,,F-T-03-FSPR-001,,
F-T-04-FDETR-001,F-T-04-FDETR-001,brick:Fire_Sensor,,,,,L04,
F-T-04-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-04-FDETR-001_Alarm//Value,,F-T-04-FDETR-001,,
F-T-04-FSPR-001,F-T-04-FSPR-001,ext:Fire_Sprinkler,,,,,L04,
F-T-04-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-04-FSPR-001_Alarm//Value,,F-T-04-FSPR-001,,
F-T-05-FDETR-001,F-T-05-FDETR-001,brick:Fire_Sensor,,,,,L05,
F-T-05-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-05-FDETR-001_Alarm//Value,,F-T-05-FDETR-001,,
F-T-05-FSPR-001,F-T-05-FSPR-001,ext:Fire_Sprinkler,,,,,L05,
F-T-05-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-05-FSPR-001_Alarm//Value,,F-T-05-FSPR-001,,
F-T-05M-FDETR-001,F-T-05M-FDETR-001,brick:Fire_Sensor,,,,,L05M,
F-T-05M-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-05M-FDETR-001_Alarm//Value,,F-T-05M-FDETR-001,,
F-T-05M-FSPR-001,F-T-05M-FSPR-001,ext:Fire_Sprinkler,,,,,L05M,
F-T-05M-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-05M-FSPR-001_Alarm//Value,,F-T-05M-FSPR-001,,
F-T-06-FDETR-001,F-T-06-FDETR-001,brick:Fire_Sensor,,,,,L06,
F-T-06-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-06-FDETR-001_Alarm//Value,,F-T-06-FDETR-001,,
F-T-06-FSPR-001,F-T-06-FSPR-001,ext:Fire_Sprinkler,,,,,L06,
F-T-06-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-06-FSPR-001_Alarm//Value,,F-T-06-FSPR-001,,
F-T-07-FDETR-001,F-T-07-FDETR-001,brick:Fire_Sensor,,,,,L07,
F-T-07-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-07-FDETR-001_Alarm//Value,,F-T-07-FDETR-001,,
F-T-07-FSPR-001,F-T-07-FSPR-001,ext:Fire_Sprinkler,,,,,L07,
F-T-07-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-07-FSPR-001_Alarm//Value,,F-T-07-FSPR-001,,
F-T-08-FDETR-001,F-T-08-FDETR-001,brick:Fire_Sensor,,,,,L08,
F-T-08-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-08-FDETR-001_Alarm//Value,,F-T-08-FDETR-001,,
F-T-08-FSPR-001,F-T-08-FSPR-001,ext:Fire_Sprinkler,,,,,L08,
F-T-08-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-08-FSPR-001_Alarm//Value,,F-T-08-FSPR-001,,
F-T-09-FDETR-001,F-T-09-FDETR-001,brick:Fire_Sensor,,,,,L09,
F-T-09-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-09-FDETR-001_Alarm//Value,,F-T-09-FDETR-001,,
F-T-09-FSPR-001,F-T-09-FSPR-001,ext:Fire_Sprinkler,,,,,L09,
F-T-09-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-09-FSPR-001_Alarm//Value,,F-T-09-FSPR-001,,
F-T-10-FDETR-001,F-T-10-FDETR-001,brick:Fire_Sensor,,,,,L10,
F-T-10-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-10-FDETR-001_Alarm//Value,,F-T-10-FDETR-001,,
F-T-10-FSPR-001,F-T-10-FSPR-001,ext:Fire_Sprinkler,,,,,L10,
F-T-10-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-10-FSPR-001_Alarm//Value,,F-T-10-FSPR-001,,
F-T-11-FDETR-001,F-T-11-FDETR-001,brick:Fire_Sensor,,,,,L11,
F-T-11-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-11-FDETR-001_Alarm//Value,,F-T-11-FDETR-001,,
F-T-11-FSPR-001,F-T-11-FSPR-001,ext:Fire_Sprinkler,,,,,L11,
F-T-11-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-11-FSPR-001_Alarm//Value,,F-T-11-FSPR-001,,
F-T-12-FDETR-001,F-T-12-FDETR-001,brick:Fire_Sensor,,,,,L12,
F-T-12-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-12-FDETR-001_Alarm//Value,,F-T-12-FDETR-001,,
F-T-12-FSPR-001,F-T-12-FSPR-001,ext:Fire_Sprinkler,,,,,L12,
F-T-12-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-12-FSPR-001_Alarm//Value,,F-T-12-FSPR-001,,
F-T-13-FDETR-001,F-T-13-FDETR-001,brick:Fire_Sensor,,,,,L13,
F-T-13-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-13-FDETR-001_Alarm//Value,,F-T-13-FDETR-001,,
F-T-13-FSPR-001,F-T-13-FSPR-001,ext:Fire_Sprinkler,,,,,L13,
F-T-13-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-13-FSPR-001_Alarm//Value,,F-T-13-FSPR-001,,
F-T-14-FDETR-001,F-T-14-FDETR-001,brick:Fire_Sensor,,,,,L14,
F-T-14-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-14-FDETR-001_Alarm//Value,,F-T-14-FDETR-001,,
F-T-14-FSPR-001,F-T-14-FSPR-001,ext:Fire_Sprinkler,,,,,L14,
F-T-14-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-14-FSPR-001_Alarm//Value,,F-T-14-FSPR-001,,
F-T-15-FDETR-001,F-T-15-FDETR-001,brick:Fire_Sensor,,,,,L15,
F-T-15-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-15-FDETR-001_Alarm//Value,,F-T-15-FDETR-001,,
F-T-15-FSPR-001,F-T-15-FSPR-001,ext:Fire_Sprinkler,,,,,L15,
F-T-15-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-15-FSPR-001_Alarm//Value,,F-T-15-FSPR-001,,
F-T-16-FDETR-001,F-T-16-FDETR-001,brick:Fire_Sensor,,,,,L16,
F-T-16-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-16-FDETR-001_Alarm//Value,,F-T-16-FDETR-001,,
F-T-16-FSPR-001,F-T-16-FSPR-001,ext:Fire_Sprinkler,,,,,L16,
F-T-16-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-16-FSPR-001_Alarm//Value,,F-T-16-FSPR-001,,
F-T-17-FDETR-001,F-T-17-FDETR-001,brick:Fire_Sensor,,,,,L17,
F-T-17-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-17-FDETR-001_Alarm//Value,,F-T-17-FDETR-001,,
F-T-17-FSPR-001,F-T-17-FSPR-001,ext:Fire_Sprinkler,,,,,L17,
F-T-17-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-17-FSPR-001_Alarm//Value,,F-T-17-FSPR-001,,
F-T-18-FDETR-001,F-T-18-FDETR-001,brick:Fire_Sensor,,,,,L18,
F-T-18-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-18-FDETR-001_Alarm//Value,,F-T-18-FDETR-001,,
F-T-18-FSPR-001,F-T-18-FSPR-001,ext:Fire_Sprinkler,,,,,L18,
F-T-18-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-18-FSPR-001_Alarm//Value,,F-T-18-FSPR-001,,
F-T-19-FDETR-001,F-T-19-FDETR-001,brick:Fire_Sensor,,,,,L19,
F-T-19-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-19-FDETR-001_Alarm//Value,,F-T-19-FDETR-001,,
F-T-19-FSPR-001,F-T-19-FSPR-001,ext:Fire_Sprinkler,,,,,L19,
F-T-19-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-19-FSPR-001_Alarm//Value,,F-T-19-FSPR-001,,
F-T-20-FDETR-001,F-T-20-FDETR-001,brick:Fire_Sensor,,,,,L20,
F-T-20-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-20-FDETR-001_Alarm//Value,,F-T-20-FDETR-001,,
F-T-20-FSPR-001,F-T-20-FSPR-001,ext:Fire_Sprinkler,,,,,L20,
F-T-20-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-20-FSPR-001_Alarm//Value,,F-T-20-FSPR-001,,
F-T-21-FDETR-001,F-T-21-FDETR-001,brick:Fire_Sensor,,,,,L21,
F-T-21-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-21-FDETR-001_Alarm//Value,,F-T-21-FDETR-001,,
F-T-21-FSPR-001,F-T-21-FSPR-001,ext:Fire_Sprinkler,,,,,L21,
F-T-21-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-21-FSPR-001_Alarm//Value,,F-T-21-FSPR-001,,
F-T-22-FDETR-001,F-T-22-FDETR-001,brick:Fire_Sensor,,,,,L22,
F-T-22-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-22-FDETR-001_Alarm//Value,,F-T-22-FDETR-001,,
F-T-22-FSPR-001,F-T-22-FSPR-001,ext:Fire_Sprinkler,,,,,L22,
F-T-22-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-22-FSPR-001_Alarm//Value,,F-T-22-FSPR-001,,
F-T-23-FDETR-001,F-T-23-FDETR-001,brick:Fire_Sensor,,,,,L23,
F-T-23-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-23-FDETR-001_Alarm//Value,,F-T-23-FDETR-001,,
F-T-23-FSPR-001,F-T-23-FSPR-001,ext:Fire_Sprinkler,,,,,L23,
F-T-23-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-23-FSPR-001_Alarm//Value,,F-T-23-FSPR-001,,
F-T-24-FDETR-001,F-T-24-FDETR-001,brick:Fire_Sensor,,,,,L24,
F-T-24-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-24-FDETR-001_Alarm//Value,,F-T-24-FDETR-001,,
F-T-24-FSPR-001,F-T-24-FSPR-001,ext:Fire_Sprinkler,,,,,L24,
F-T-24-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-24-FSPR-001_Alarm//Value,,F-T-24-FSPR-001,,
F-T-25-FDETR-001,F-T-25-FDETR-001,brick:Fire_Sensor,,,,,L25,
F-T-25-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-25-FDETR-001_Alarm//Value,,F-T-25-FDETR-001,,
F-T-25-FSPR-001,F-T-25-FSPR-001,ext:Fire_Sprinkler,,,,,L25,
F-T-25-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-25-FSPR-001_Alarm//Value,,F-T-25-FSPR-001,,
F-T-26-FDETR-001,F-T-26-FDETR-001,brick:Fire_Sensor,,,,,L26,
F-T-26-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-26-FDETR-001_Alarm//Value,,F-T-26-FDETR-001,,
F-T-26-FSPR-001,F-T-26-FSPR-001,ext:Fire_Sprinkler,,,,,L26,
F-T-26-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-26-FSPR-001_Alarm//Value,,F-T-26-FSPR-001,,
F-T-27-FDETR-001,F-T-27-FDETR-001,brick:Fire_Sensor,,,,,L27,
F-T-27-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-27-FDETR-001_Alarm//Value,,F-T-27-FDETR-001,,
F-T-27-FSPR-001,F-T-27-FSPR-001,ext:Fire_Sprinkler,,,,,L27,
F-T-27-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-27-FSPR-001_Alarm//Value,,F-T-27-FSPR-001,,
F-T-28-FDETR-001,F-T-28-FDETR-001,brick:Fire_Sensor,,,,,L28,
F-T-28-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-28-FDETR-001_Alarm//Value,,F-T-28-FDETR-001,,
F-T-28-FSPR-001,F-T-28-FSPR-001,ext:Fire_Sprinkler,,,,,L28,
F-T-28-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-28-FSPR-001_Alarm//Value,,F-T-28-FSPR-001,,
F-T-29-FDETR-001,F-T-29-FDETR-001,brick:Fire_Sensor,,,,,L29,
F-T-29-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-29-FDETR-001_Alarm//Value,,F-T-29-FDETR-001,,
F-T-29-FSPR-001,F-T-29-FSPR-001,ext:Fire_Sprinkler,,,,,L29,
