Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
L-T-31-BLST-HZN005_Sts,Dali Ballast Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Ballast.L-T-31-BLST-HZN005_Sts//Value,,L-T-31-LCS-HZN005,,
L-T-31-BLST-HZN006_Sts,Dali Ballast Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Ballast.L-T-31-BLST-HZN006_Sts//Value,,L-T-31-LCS-HZN006,,
L-T-31-LAMP-HZN003_Sts,Dali Lamp Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Lamp.L-T-31-LAMP-HZN003_Sts//Value,,L-T-31-LCS-HZN003,,
L-T-31-BLST-HZN003_Sts,Dali Ballast Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Ballast.L-T-31-BLST-HZN003_Sts//Value,,L-T-31-LCS-HZN003,,
L-T-31-LAMP-HZN001_Sts,Dali Lamp Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Lamp.L-T-31-LAMP-HZN001_Sts//Value,,L-T-31-LCS-HZN001,,
L-T-31-BLST-HZN001_Sts,Dali Ballast Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Ballast.L-T-31-BLST-HZN001_Sts//Value,,L-T-31-LCS-HZN001,,
L-T-31-LAMP-HZN002_Sts,Dali Lamp Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Lamp.L-T-31-LAMP-HZN002_Sts//Value,,L-T-31-LCS-HZN002,,
L-T-31-LAMP-HZN004_Sts,Dali Lamp Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Lamp.L-T-31-LAMP-HZN004_Sts//Value,,L-T-31-LCS-HZN004,,
L-T-31-BLST-HZN002_Sts,Dali Ballast Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Ballast.L-T-31-BLST-HZN002_Sts//Value,,L-T-31-LCS-HZN002,,
L-T-31-BLST-HZN004_Sts,Dali Ballast Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Ballast.L-T-31-BLST-HZN004_Sts//Value,,L-T-31-LCS-HZN004,,
L-T-31-LAMP-HZN005_Sts,Dali Lamp Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Lamp.L-T-31-LAMP-HZN005_Sts//Value,,L-T-31-LCS-HZN005,,
L-T-31-LAMP-HZN006_Sts,Dali Lamp Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Lamp.L-T-31-LAMP-HZN006_Sts//Value,,L-T-31-LCS-HZN006,,
L-T-31-LCS-HZN006_Preset,Lighting Preset,brick:Luminance_Command,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Area Preset.L-T-31-LCS-HZN006_Preset//Value,,L-T-31-LCS-HZN006,,
L-T-31-LCS-HZN004_Preset,Lighting Preset,brick:Luminance_Command,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Area Preset.L-T-31-LCS-HZN004_Preset//Value,,L-T-31-LCS-HZN004,,
L-T-31-LCS-HZN002_LL,Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Lux Levels.House.Level 31.L-T-31-LCS-HZN002_LL//Value,,L-T-31-LCS-HZN002,,
L-T-31-LCS-HZN004_LL,Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Lux Levels.House.Level 31.L-T-31-LCS-HZN004_LL//Value,,L-T-31-LCS-HZN004,,
L-T-31-LCS-HZN006_LL,Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Lux Levels.House.Level 31.L-T-31-LCS-HZN006_LL//Value,,L-T-31-LCS-HZN006,,
L-T-31-LCS-HZN002_Preset,Lighting Preset,brick:Luminance_Command,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Area Preset.L-T-31-LCS-HZN002_Preset//Value,,L-T-31-LCS-HZN002,,
L-T-31-LCS-HZN001_LL,Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Lux Levels.House.Level 31.L-T-31-LCS-HZN001_LL//Value,,L-T-31-LCS-HZN001,,
L-T-31-LCS-HZN001_Preset,Lighting Preset,brick:Luminance_Command,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Area Preset.L-T-31-LCS-HZN001_Preset//Value,,L-T-31-LCS-HZN001,,
L-T-31-LCS-HZN003_Preset,Lighting Preset,brick:Luminance_Command,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Area Preset.L-T-31-LCS-HZN003_Preset//Value,,L-T-31-LCS-HZN003,,
L-T-31-LCS-HZN003_LL,Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Lux Levels.House.Level 31.L-T-31-LCS-HZN003_LL//Value,,L-T-31-LCS-HZN003,,
L-T-31-LCS-HZN005_LL,Lux Level,brick:Illuminance_Sensor,unit:LX,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Lux Levels.House.Level 31.L-T-31-LCS-HZN005_LL//Value,,L-T-31-LCS-HZN005,,
L-T-31-LCS-HZN005_Preset,Lighting Preset,brick:Luminance_Command,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level31/Dynalite.Presets.Level 31.House.Area Preset.L-T-31-LCS-HZN005_Preset//Value,,L-T-31-LCS-HZN005,,
L-T-32-BLST-HZN006_Sts,Dali Ballast Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level32/Dynalite.Presets.Level 32.House.Ballast.L-T-32-BLST-HZN006_Sts//Value,,L-T-32-LCS-HZN006,,
L-T-32-BLST-HZN005_Sts,Dali Ballast Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level32/Dynalite.Presets.Level 32.House.Ballast.L-T-32-BLST-HZN005_Sts//Value,,L-T-32-LCS-HZN005,,
L-T-32-BLST-HZN004_Sts,Dali Ballast Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level32/Dynalite.Presets.Level 32.House.Ballast.L-T-32-BLST-HZN004_Sts//Value,,L-T-32-LCS-HZN004,,
L-T-32-BLST-HZN002_Sts,Dali Ballast Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level32/Dynalite.Presets.Level 32.House.Ballast.L-T-32-BLST-HZN002_Sts//Value,,L-T-32-LCS-HZN002,,
L-T-32-BLST-HZN001_Sts,Dali Ballast Status,brick:Status,,/EB-T-B1-LBES-001/General Lights/Dynalite OPC SmartConnector/SmartConnector OPC Client Service/Dynalite/[0].Level32/Dynalite.Presets.Level 32.House.Ballast.L-T-32-BLST-HZN001_Sts//Value,,L-T-32-LCS-HZN001,,
