Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
X-T-LR-LIFT-A,X-T-LR-LIFT-A,brick:Elevator,,,,,ES_A,
X-T-LR-LIFT-A_OperationMode,Operation Mode,ext:Elevator_Operation_Mode,,,,X-T-LR-LIFT-A,,
X-T-LR-LIFT-A_GroupPosition,Group Position,ext:Elevator_Group_Position,,,,X-T-LR-LIFT-A,,
X-T-LR-LIFT-A_Load,Load,ext:Elevator_Load,unit:PERCENT,,,X-T-LR-LIFT-A,,
X-T-LR-LIFT-A_DoorsStateSide1,Door State Side 1,ext:Elevator_Door_State,,,,X-T-LR-LIFT-A,,
X-T-LR-LIFT-A_MovingDirection,Moving Direction,ext:Elevator_Moving_Direction,,,,X-T-LR-LIFT-A,,
X-T-LR-LIFT-A_PassangerAlarm,Passanger Alarm,ext:Elevator_Passanger_Alarm,,,,X-T-LR-LIFT-A,,
X-T-LR-LIFT-A_TripCounter,Trip Counter,ext:Elevator_Trip_Counter,,,,X-T-LR-LIFT-A,,
X-T-LR-LIFT-A_DestinationCallsSide1,Destination Call Side 1,ext:Elevator_Destination_Call,,,,X-T-LR-LIFT-A,,
X-T-LR-LIFT-A_BoardingCallsSide1,Boarding Call Side 1,ext:Elevator_Boarding_Call,,,,X-T-LR-LIFT-A,,
