Id,rdf_label,rdf_type,brick_isPartOf,brick_isFedBy
SydPl,Sydney Place,brick:Site,,
CQT,Circular Quay Tower,brick:Building,SydPl,
Basement,Basement,brick:Space,CQT,
Podium,Podium,brick:Space,CQT,
LR,Low Rise,brick:Space,CQT,
MR,Mid Rise,brick:Space,CQT,
HR,High Rise,brick:Space,CQT,
ES_A,Elevator Shaft A,brick:Elevator_Shaft,LR,
LB3,Basement 3,brick:Floor,Basement,
LB2,Basement 2,brick:Floor,Basement,
LB1,Basement 1,brick:Floor,Basement,
LB1M,Basement 1 Mezzanine,brick:Floor,Basement,
LLG,Lower Ground,brick:Floor,Podium,
LUG,Upper Ground,brick:Floor,Podium,
L01,Level 01,brick:Floor,LR,
L02,Level 02,brick:Floor,LR,
L03,Level 03,brick:Floor,LR,
L04,Level 04,brick:Floor,LR,
L05,Level 05,brick:Floor,LR,
L05M,Level 05 Mezzanine,brick:Floor,LR,
L06,Level 06,brick:Floor,LR,
L07,Level 07,brick:Floor,LR,
L08,Level 08,brick:Floor,LR,
L09,Level 09,brick:Floor,LR,
L10,Level 10,brick:Floor,LR,
L11,Level 11,brick:Floor,LR,
L12,Level 12,brick:Floor,LR,
L13,Level 13,brick:Floor,LR,
L14,Level 14,brick:Floor,LR,
L15,Level 15,brick:Floor,LR,
L16,Level 16,brick:Floor,LR,
L17,Level 17,brick:Floor,LR,
L18,Level 18,brick:Floor,LR,
L19,Level 19,brick:Floor,LR,
L20,Level 20,brick:Floor,LR,
L21,Level 21,brick:Floor,LR,
L22,Level 22,brick:Floor,LR,
L23,Level 23,brick:Floor,LR,
L24,Level 24,brick:Floor,MR,
L25,Level 25,brick:Floor,MR,
L26,Level 26,brick:Floor,MR,
L27,Level 27,brick:Floor,MR,
L28,Level 28,brick:Floor,MR,
L29,Level 29,brick:Floor,MR,
L30,Level 30,brick:Floor,MR,
L31,Level 31,brick:Floor,MR,
L32,Level 32,brick:Floor,MR,
L33,Level 33,brick:Floor,MR,
L34,Level 34,brick:Floor,MR,
L35,Level 35,brick:Floor,MR,
L36,Level 36,brick:Floor,MR,
L37,Level 37,brick:Floor,MR,
L38,Level 38,brick:Floor,MR,
L39,Level 39,brick:Floor,MR,
L40,Level 40,brick:Floor,HR,
L41,Level 41,brick:Floor,HR,
L42,Level 42,brick:Floor,HR,
L43,Level 43,brick:Floor,HR,
L44,Level 44,brick:Floor,HR,
L45,Level 45,brick:Floor,HR,
L46,Level 46,brick:Floor,HR,
L47,Level 47,brick:Floor,HR,
L48,Level 48,brick:Floor,HR,
L49,Level 49,brick:Floor,HR,
L50,Level 50,brick:Floor,HR,
L51,Level 51,brick:Floor,HR,
L52,Level 52,brick:Floor,HR,
L53,Level 53,brick:Floor,HR,
L54,Level 54,brick:Floor,HR,
L55,Level 55,brick:Floor,HR,
L55M,Level 55 Mezzanine,brick:Floor,HR,
L56,Level 56 Rooftop,brick:Floor,HR,
Room_01.01,Fire Stair 01.01,brick:Room,L01,
Room_01.02,Fire Stair 01.02,brick:Room,L01,
Room_01.03,Office 01.03,brick:Room,L01,
Room_01.04,Male WC 01.04,brick:Restroom,L01,
Room_01.05,Female WC 01.05,brick:Restroom,L01,
Room_01.06,Acc WC 01.06,brick:Restroom,L01,
Room_01.07,Lobby 01.07,brick:Lobby,L01,
Room_01.08,Elec Plantroom 01.08,brick:Electrical_Room,L01,
Room_01.09,Services Lobby 01.09,brick:Lobby,L01,
Room_01.10,Lobby 01.10,brick:Lobby,L01,
Room_01.11,Services Lobby 01.11,brick:Lobby,L01,
Room_01.12,Plantroom 01.12,brick:Mechanical_Room,L01,
Room_01.13,Office 01.13,brick:Room,L01,
Room_01.31,T.Elec 01.31,brick:Electrical_Room,L01,
Room_01.32,T.Elec 01.32,brick:Electrical_Room,L01,
Room_01.33,T.Comms 01.33,brick:Communications_Room,L01,
Room_01.34,H.Comms 01.34,brick:Communications_Room,L01,
Room_01.37,T.Comms 01.37,brick:Communications_Room,L01,
Room_01.42,T.Comms 01.42,brick:Communications_Room,L01,
Room_01.45,T.Comms 01.45,brick:Communications_Room,L01,
Room_01.46,DAS 01.46,brick:Communications_Room,L01,
Room_01.51,Fire Equipment 01.51,brick:Room,L01,
Room_01.53,HV Riser 01.53,brick:Electrical_Room,L01,
Room_01.55,Diesel Fuel 01.55,brick:Room,L01,
Room_02.01,Fire Stair 02.01,brick:Room,L02,
Room_02.02,Fire Stair 02.02,brick:Room,L02,
Room_02.03,Office 02.03,brick:Room,L02,
Room_02.04,Male WC 02.04,brick:Restroom,L02,
Room_02.05,Female WC 02.05,brick:Restroom,L02,
Room_02.06,Acc WC 02.06,brick:Restroom,L02,
