Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
I-T-02-UPS-FD1D01,I-T-02-UPS-FD1D01,ext:UPS,,,,,Room_02.42,
I-T-02-UPS-FD1D01_DeviceStatus,Network Status,brick:Availability_Status,,/EB-T-B1-ILFES-001/UPS/UPS SNMP SmartConnector/SmartConnector SNMP Service/SnmpManager/10.1.166.20_I-T-02-UPS-FD1D01/I-T-02-UPS-FD1D01_DeviceStatus//Value,,I-T-02-UPS-FD1D01,,
I-T-02-UPS-FD1D01_OutputPower,Active Power,brick:Active_Power_Sensor,unit:KiloW,/EB-T-B1-ILFES-001/UPS/UPS SNMP SmartConnector/SmartConnector SNMP Service/SnmpManager/10.1.166.20_I-T-02-UPS-FD1D01/upsOutputTable/upsOutputPower//Value,,I-T-02-UPS-FD1D01,,
I-T-02-UPS-FD1D01_SecondsOnBattery,Seconds On Battery,ext:Seconds_On_Battery,unit:SEC,/EB-T-B1-ILFES-001/UPS/UPS SNMP SmartConnector/SmartConnector SNMP Service/SnmpManager/10.1.166.20_I-T-02-UPS-FD1D01/upsSecondsOnBattery//Value,,I-T-02-UPS-FD1D01,,
I-T-02-UPS-FD1D01_EstimatedMinutesRemaining,Estimated Minutes Remaining,ext:Minutes_Remaining,unit:MIN,/EB-T-B1-ILFES-001/UPS/UPS SNMP SmartConnector/SmartConnector SNMP Service/SnmpManager/10.1.166.20_I-T-02-UPS-FD1D01/upsEstimatedMinutesRemaining//Value,,I-T-02-UPS-FD1D01,,
I-T-02-UPS-FD1D01_InputVoltage,Input Voltage,ext:Input_Voltage_Sensor,unit:V,/EB-T-B1-ILFES-001/UPS/UPS SNMP SmartConnector/SmartConnector SNMP Service/SnmpManager/10.1.166.20_I-T-02-UPS-FD1D01/upsInputTable/upsInputVoltage//Value,,I-T-02-UPS-FD1D01,,
I-T-02-UPS-FD1D01_InputFrequency,Input Frequency,ext:Input_Frequency_Sensor,unit:HZ,/EB-T-B1-ILFES-001/UPS/UPS SNMP SmartConnector/SmartConnector SNMP Service/SnmpManager/10.1.166.20_I-T-02-UPS-FD1D01/upsInputTable/upsInputFrequency//Value,,I-T-02-UPS-FD1D01,,
I-T-02-UPS-FD1D01_OutputVoltage,Output Voltage,brick:Output_Voltage_Sensor,unit:V,/EB-T-B1-ILFES-001/UPS/UPS SNMP SmartConnector/SmartConnector SNMP Service/SnmpManager/10.1.166.20_I-T-02-UPS-FD1D01/upsOutputTable/upsOutputVoltage//Value,,I-T-02-UPS-FD1D01,,
I-T-02-UPS-FD1D01_OutputFrequency,Output Frequency,brick:Output_Frequency_Sensor,unit:HZ,/EB-T-B1-ILFES-001/UPS/UPS SNMP SmartConnector/SmartConnector SNMP Service/SnmpManager/10.1.166.20_I-T-02-UPS-FD1D01/upsOutputFrequency//Value,,I-T-02-UPS-FD1D01,,
I-T-02-UPS-FD1D01_OutputPercentLoad,Load,ext:Load,unit:PERCENT,/EB-T-B1-ILFES-001/UPS/UPS SNMP SmartConnector/SmartConnector SNMP Service/SnmpManager/10.1.166.20_I-T-02-UPS-FD1D01/upsOutputTable/upsOutputPercentLoad//Value,,I-T-02-UPS-FD1D01,,
